记录ID,公司名称,联系人,职位,邮箱,电话,联系表单链接,公司官网,联系方式来源URL,厚生劳动省来源URL,许可证号,许可类型,城市或都道府县,专业领域,业务分类,证据关键词,验证状态,可信度,来源访问时间,备注,邮箱或表单来源URL,邮箱或表单原始页面路径,邮箱补充状态
company-6d46393e,モス物流プランニング 株式会社,,,,011-857-1000,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300089%2C0+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300089%2C0+++++,01-ユ-300089,有料職業紹介事業,北海道,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,,,not_found
company-102336d3,株式会社 アメリカンビジネスサービス,,,,011-221-1702,https://www.american-bs.co.jp/contact/,https://www.american-bs.co.jp/contact/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300090%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300090%2C1+++++,01-ユ-300090,有料職業紹介事業,北海道,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,https://www.american-bs.co.jp/contact/,data/raw/static_enrichment/company-102336d3-page1-6c7b382f5c.html,contact_form_found
company-d3815507,株式会社 アメリカンビジネスサービス,,,,083-976-0033,https://www.american-bs.co.jp/contact/,https://www.american-bs.co.jp/contact/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300090%2C2+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300090%2C2+++++,01-ユ-300090,有料職業紹介事業,山口県,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,https://www.american-bs.co.jp/contact/,data/raw/static_enrichment/company-d3815507-page1-6c7b382f5c.html,contact_form_found
company-21f695d1,株式会社 エルフィンウエブ,,,,011-887-8641,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300102%2C0+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300102%2C0+++++,01-ユ-300102,有料職業紹介事業,北海道,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,,,not_found
company-7d57a650,株式会社 ネオコーポレーション,,,,011-208-7117,,http://www.neocorporation.jp/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300106%2C0+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300106%2C0+++++,01-ユ-300106,有料職業紹介事業,北海道,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,http://www.neocorporation.jp/,data/raw/static_enrichment/company-7d57a650-page1-2163fe190b.html,official_site_found_no_contact
company-2111bd8a,株式会社 ＢＥＣＫ,,,,011-706-0077,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300143%2C0+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300143%2C0+++++,01-ユ-300143,有料職業紹介事業,北海道,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,,,not_found
company-495e6b3d,リンケージサービス 株式会社,,,,011-272-2234,https://www.lsi-gpc.co.jp/contact/,https://www.lsi-gpc.co.jp/contact/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300185%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300185%2C1+++++,01-ユ-300185,有料職業紹介事業,北海道,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,https://www.lsi-gpc.co.jp/contact/,data/raw/static_enrichment/company-495e6b3d-page1-cc81355bf1.html,contact_form_found
company-90b81456,リンケージサービス 株式会社,,,,03-6809-1318,https://www.lsi-gpc.co.jp/contact/,https://www.lsi-gpc.co.jp/contact/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300185%2C2+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300185%2C2+++++,01-ユ-300185,有料職業紹介事業,東京都,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,https://www.lsi-gpc.co.jp/contact/,data/raw/static_enrichment/company-90b81456-page1-cc81355bf1.html,contact_form_found
company-e44a782b,株式会社 ヤマダイグループ,,,yamadai@yamadai-group.com,0138-48-0350,https://yamadai-group.com/contact/,https://yamadai-group.com/contact/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300246%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300246%2C1+++++,01-ユ-300246,有料職業紹介事業,北海道,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,https://yamadai-group.com/contact/,data/raw/static_enrichment/company-e44a782b-page1-b8da5edd57.html,email_found
company-58542413,株式会社 ヤマダイグループ,,,yamadai@yamadai-group.com,011-522-9207,https://yamadai-group.com/contact/,https://yamadai-group.com/contact/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300246%2C2+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300246%2C2+++++,01-ユ-300246,有料職業紹介事業,北海道,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,https://yamadai-group.com/contact/,data/raw/static_enrichment/company-58542413-page1-b8da5edd57.html,email_found
company-90534e23,株式会社 プロサポート物流,,,,011-204-8833,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300259%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300259%2C1+++++,01-ユ-300259,有料職業紹介事業,北海道,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,,,not_found
company-e3451244,株式会社 札総,,,,011-676-7800,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300273%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300273%2C1+++++,01-ユ-300273,有料職業紹介事業,北海道,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,,,not_found
company-dd61c9e6,合同会社エム・アイ・エス札幌,,,,090-7653-3636,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300319%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300319%2C1+++++,01-ユ-300319,有料職業紹介事業,北海道,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,,,not_found
company-a77dfeed,株式会社 ＧＳＩ,,,,011-726-7771,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300333%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300333%2C1+++++,01-ユ-300333,有料職業紹介事業,北海道,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,,,not_found
company-a883a512,株式会社ドルフィン,,,,045-228-8262,https://dolphin-i.com/contact,https://dolphin-i.com/contact,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300341%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300341%2C1+++++,01-ユ-300341,有料職業紹介事業,神奈川県,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,https://dolphin-i.com/contact,data/raw/static_enrichment/company-a883a512-page1-508670f2e2.html,contact_form_found
company-54c52725,株式会社エス・エム・エスサポートサービス,,,,050-1741-5555,https://www.sms-s-s.com/contact/,https://www.sms-s-s.com/contact/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300356%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300356%2C1+++++,01-ユ-300356,有料職業紹介事業,北海道,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,https://www.sms-s-s.com/contact/,data/raw/static_enrichment/company-54c52725-page1-dbcc71d490.html,contact_form_found
company-ef13f146,株式会社 ノースグリーン,,,info@north-green.co.jp,0166-73-3337,https://north-green.co.jp/contact/,https://north-green.co.jp/contact/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300357%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300357%2C1+++++,01-ユ-300357,有料職業紹介事業,北海道,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,https://north-green.co.jp/contact/,data/raw/static_enrichment/company-ef13f146-page1-6ded160c74.html,email_found
company-9d56a610,株式会社グラン・メディコ,,,,011-898-7700,https://www.shoureikan.jp/g-medico/contact.html,https://www.shoureikan.jp/g-medico/contact.html,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300362%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300362%2C1+++++,01-ユ-300362,有料職業紹介事業,北海道,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,https://www.shoureikan.jp/g-medico/contact.html,data/raw/static_enrichment/company-9d56a610-page1-846937577e.html,contact_form_found
company-8964c5c7,三鉱建設株式会社,,,,0125-52-3111,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300363%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300363%2C1+++++,01-ユ-300363,有料職業紹介事業,北海道,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,,,not_found
company-d7a3f304,株式会社大原キャリアスタッフ北海道,,,,011-707-1211,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300364%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300364%2C1+++++,01-ユ-300364,有料職業紹介事業,北海道,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,,,not_found
company-7106e213,株式会社 エーピーアール,,,,011-211-1047,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300390%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300390%2C1+++++,01-ユ-300390,有料職業紹介事業,北海道,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,,,not_found
company-8ba60540,楡創研 株式会社,,,,011-233-4919,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300395%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300395%2C1+++++,01-ユ-300395,有料職業紹介事業,北海道,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,,,not_found
company-c7679cbe,株式会社 ソフトガーデン,,,,011-211-4435,,https://www.soft-garden.co.jp/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300398%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300398%2C1+++++,01-ユ-300398,有料職業紹介事業,北海道,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,https://www.soft-garden.co.jp/,data/raw/static_enrichment/company-c7679cbe-page1-93f55dd6d0.html,official_site_found_no_contact
company-5199a227,株式会社 ソフトガーデン,,,,045-594-7544,,https://www.soft-garden.co.jp/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300398%2C2+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300398%2C2+++++,01-ユ-300398,有料職業紹介事業,神奈川県,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,https://www.soft-garden.co.jp/,data/raw/static_enrichment/company-5199a227-page1-93f55dd6d0.html,official_site_found_no_contact
company-6460faa6,伊達環境管理株式会社,,,,0142-25-3391,https://www.datekan.co.jp/contact,https://www.datekan.co.jp/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300404%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300404%2C1+++++,01-ユ-300404,有料職業紹介事業,北海道,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,https://www.datekan.co.jp/,data/raw/static_enrichment/company-6460faa6-page1-7d9d7d7993.html,contact_form_found
company-509ae6cc,株式会社 ＮＴＴネクシア,,,,03-6384-3934,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300412%2C0+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300412%2C0+++++,01-ユ-300412,有料職業紹介事業,東京都,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,,,not_found
company-81eec7c3,株式会社 ＮＴＴネクシア,,,,06-6314-0120,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300412%2C2+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300412%2C2+++++,01-ユ-300412,有料職業紹介事業,大阪府,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,,,not_found
company-bdec1b1d,株式会社 ＮＴＴネクシア,,,,011-241-9583,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300412%2C18++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300412%2C18++++,01-ユ-300412,有料職業紹介事業,北海道,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,,,not_found
company-e93e0b5e,株式会社 Ｍａｍｍｙ Ｐｒｏ,,,,011-206-9150,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300415%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300415%2C1+++++,01-ユ-300415,有料職業紹介事業,北海道,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,,,not_found
company-183cda18,小石川 志津加,,,,0144-77-5913,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300430%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300430%2C1+++++,01-ユ-300430,有料職業紹介事業,北海道,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,,,not_found
