record_id,company_name,contact_name,title,email,phone,contact_form_url,company_url,source_url,mhlw_source_url,license_number,license_type,city_or_prefecture,specialization,classification,hunter_likelihood,hunter_likelihood_reason,evidence_keywords,verification_status,confidence,source_accessed_at,notes
company-93cb5d1c,公益社団法人北海道シルバー人材センター連合会,,,,011-223-2711,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C1+++++,01-ユ-900001,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-5ebd40e9,公益社団法人北海道シルバー人材センター連合会,,,,011-614-2155,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C2+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C2+++++,01-ユ-900001,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-acdcf527,公益社団法人北海道シルバー人材センター連合会,,,,011-826-3279,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C3+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C3+++++,01-ユ-900001,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-75ac20a6,公益社団法人北海道シルバー人材センター連合会,,,,011-615-8228,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C4+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C4+++++,01-ユ-900001,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-21980394,公益社団法人北海道シルバー人材センター連合会,,,,0166-51-1600,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C5+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C5+++++,01-ユ-900001,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-6ba927b1,公益社団法人北海道シルバー人材センター連合会,,,,0138-26-3555,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C6+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C6+++++,01-ユ-900001,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-4cb66993,公益社団法人北海道シルバー人材センター連合会,,,,0143-45-8155,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C7+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C7+++++,01-ユ-900001,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-abe068b1,公益社団法人北海道シルバー人材センター連合会,,,,0134-33-9850,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C8+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C8+++++,01-ユ-900001,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-c42aa42b,公益社団法人北海道シルバー人材センター連合会,,,,011-384-3771,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C9+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C9+++++,01-ユ-900001,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-161a7c31,公益社団法人北海道シルバー人材センター連合会,,,,0123-26-2277,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C10++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C10++++,01-ユ-900001,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-238073d6,公益社団法人北海道シルバー人材センター連合会,,,,0144-35-1700,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C11++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C11++++,01-ユ-900001,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-7f246c5b,公益社団法人北海道シルバー人材センター連合会,,,,0125-23-4759,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C12++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C12++++,01-ユ-900001,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-0e94a7c7,公益社団法人北海道シルバー人材センター連合会,,,,0155-38-2001,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C13++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C13++++,01-ユ-900001,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-f4b13c9a,公益社団法人北海道シルバー人材センター連合会,,,,0157-23-6000,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C14++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C14++++,01-ユ-900001,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-9ee52e15,公益社団法人北海道シルバー人材センター連合会,,,,0154-44-5755,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C15++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C15++++,01-ユ-900001,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-1cf59442,公益社団法人北海道シルバー人材センター連合会,,,,011-373-6763,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C16++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C16++++,01-ユ-900001,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-9ca045d1,公益社団法人北海道シルバー人材センター連合会,,,,0123-34-0311,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C17++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C17++++,01-ユ-900001,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-09fb83eb,公益社団法人北海道シルバー人材センター連合会,,,,0126-24-4255,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C18++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C18++++,01-ユ-900001,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-3522e3a9,公益社団法人北海道シルバー人材センター連合会,,,,0142-23-6448,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C20++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C20++++,01-ユ-900001,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-2ff9e4df,公益社団法人北海道シルバー人材センター連合会,,,,0162-22-1156,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C21++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C21++++,01-ユ-900001,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-d40b8a4f,公益社団法人北海道シルバー人材センター連合会,,,,0152-43-6688,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C22++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C22++++,01-ユ-900001,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-ec6bfd40,公益社団法人北海道シルバー人材センター連合会,,,,0133-64-7771,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C23++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C23++++,01-ユ-900001,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-9b6aee51,公益社団法人北海道シルバー人材センター連合会,,,,0143-88-0880,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C24++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C24++++,01-ユ-900001,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-fc6c9a9d,公益社団法人北海道シルバー人材センター連合会,,,,0165-23-4040,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C25++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C25++++,01-ユ-900001,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-2a010d50,公益社団法人北海道シルバー人材センター連合会,,,,0156-62-6058,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C26++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C26++++,01-ユ-900001,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-ed2adaf0,公益社団法人北海道シルバー人材センター連合会,,,,0138-66-3470,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C27++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C27++++,01-ユ-900001,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-aa9f0db8,公益社団法人北海道シルバー人材センター連合会,,,,0146-43-2800,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C28++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C28++++,01-ユ-900001,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-b203cc66,公益社団法人北海道シルバー人材センター連合会,,,,0158-23-7276,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C29++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C29++++,01-ユ-900001,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-84780114,公益社団法人北海道シルバー人材センター連合会,,,,0133-22-4191,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C30++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C30++++,01-ユ-900001,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
